Data;Valor
27/10/2025;5,3733
24/10/2025;5,3896
23/10/2025;5,3828
22/10/2025;5,4004
21/10/2025;5,3881
20/10/2025;5,3748
17/10/2025;5,4085
16/10/2025;5,446
15/10/2025;5,4552
14/10/2025;5,4822
13/10/2025;5,4655
10/10/2025;5,522
09/10/2025;5,3685
08/10/2025;5,3431
07/10/2025;5,3511
06/10/2025;5,3132
03/10/2025;5,3375
02/10/2025;5,3386
01/10/2025;5,3294
30/09/2025;5,3229
29/09/2025;5,3221
26/09/2025;5,3431
25/09/2025;5,3639
24/09/2025;5,333
23/09/2025;5,2829
22/09/2025;5,3353
19/09/2025;5,3238
18/09/2025;5,3138
17/09/2025;5,3059
16/09/2025;5,2972
15/09/2025;5,3168
12/09/2025;5,3549
11/09/2025;5,3903
10/09/2025;5,4087
09/09/2025;5,4398
08/09/2025;5,4196
05/09/2025;5,4134
04/09/2025;5,4462
03/09/2025;5,4516
02/09/2025;5,465
01/09/2025;5,4403
29/08/2025;5,4304
28/08/2025;5,4129
27/08/2025;5,4178
26/08/2025;5,4311
25/08/2025;5,4121
22/08/2025;5,4227
21/08/2025;5,471
20/08/2025;5,4829
19/08/2025;5,504
18/08/2025;5,4368
15/08/2025;5,4009
14/08/2025;5,416
13/08/2025;5,3991
12/08/2025;5,3895
11/08/2025;5,4424
08/08/2025;5,434
07/08/2025;5,4236
06/08/2025;5,4632
05/08/2025;5,5075
04/08/2025;5,4988
01/08/2025;5,542
31/07/2025;5,6015
30/07/2025;5,5695
29/07/2025;5,5747
28/07/2025;5,5888
25/07/2025;5,5633
24/07/2025;5,5215
23/07/2025;5,5212
22/07/2025;5,5657
21/07/2025;5,5671
18/07/2025;5,579
17/07/2025;5,5449
16/07/2025;5,569
15/07/2025;5,5571
14/07/2025;5,5893
11/07/2025;5,5589
10/07/2025;5,5321
09/07/2025;5,5766
08/07/2025;5,4474
07/07/2025;5,488
04/07/2025;5,4212
03/07/2025;5,409
02/07/2025;5,424
01/07/2025;5,4588
30/06/2025;5,4326
27/06/2025;5,4856
26/06/2025;5,489
25/06/2025;5,5637
24/06/2025;5,5113
23/06/2025;5,4965
20/06/2025;5,5132
19/06/2025;5,4916
18/06/2025;5,4917
17/06/2025;5,4997
16/06/2025;5,492
13/06/2025;5,5439
12/06/2025;5,5375
11/06/2025;5,5364
10/06/2025;5,5744
09/06/2025;5,5588
06/06/2025;5,5594
05/06/2025;5,5893
04/06/2025;5,6368
03/06/2025;5,6393
02/06/2025;5,6734
30/05/2025;5,7227
29/05/2025;5,6666
28/05/2025;5,689
27/05/2025;5,6424
26/05/2025;5,6693
23/05/2025;5,6468
22/05/2025;5,716
21/05/2025;5,6458
20/05/2025;5,6682
19/05/2025;5,6516
16/05/2025;5,6633
15/05/2025;5,6821
14/05/2025;5,6384
13/05/2025;5,6085
12/05/2025;5,6752
09/05/2025;5,6556
08/05/2025;5,6615
07/05/2025;5,7459
06/05/2025;5,7135
05/05/2025;5,6886
02/05/2025;5,6579
01/05/2025;5,6734
30/04/2025;5,6748
